Pairs,Cosine Distance
"(7, 46)",0.012105173472835792
"(7, 47)",0.00947780491054823
"(7, 48)",0.011686227789313856
"(7, 49)",0.01069980638383223
"(7, 50)",0.011955602834781556
"(7, 51)",0.010056237294563512
"(7, 52)",0.00833235707253442
"(7, 53)",0.00955363775900862
"(7, 54)",0.014192430755401471
"(7, 55)",0.00975689164382044
"(7, 56)",0.012052990012702425
"(7, 57)",0.00010249342699464182
"(7, 58)",0.008731552569838878
"(7, 59)",0.008321116163590929
"(7, 60)",0.010341547423282887
"(7, 61)",0.009750623452638692
"(7, 62)",0.010082247634871925
"(7, 63)",0.010142751889428968
"(7, 64)",0.011244856471350801
"(7, 65)",0.009417085839738028
"(7, 66)",0.009394083773105709
"(7, 67)",0.009327201227865185
"(7, 68)",0.010047218609962692
"(7, 69)",0.011608412237573036
"(7, 70)",0.009445141734441963
"(7, 71)",0.010932424400165954
"(7, 72)",0.012135083405326744
"(7, 73)",0.010437787952937639
"(7, 74)",0.007902015881409158
"(7, 75)",0.01009868122421021
"(7, 76)",0.011101552248230898
"(7, 77)",0.010463514763017979
"(7, 78)",0.010947570090358242
"(7, 79)",0.0070247164655461245
"(7, 80)",0.011263891918869848
"(7, 81)",0.011348026500372158
"(7, 82)",0.011976164458678435
"(7, 83)",0.009748652273355557
"(7, 84)",0.007159932113133466
"(7, 85)",0.008700233176525395
"(7, 86)",0.008676433082070764
"(7, 87)",0.0066718475215837006
"(7, 88)",0.012218799923715048
"(7, 89)",0.009619929926508633
"(8, 8)",0.009906751682537565
"(8, 9)",0.009915437906404569
"(8, 10)",0.010501015987271847
"(8, 11)",0.010007579304736045
"(8, 12)",0.009878202520656212
"(8, 13)",0.012174262475209682
"(8, 14)",0.009775229399060477
"(8, 15)",0.009443773404829402
"(8, 16)",0.01114383412261499
"(8, 17)",0.00856045410829867
"(8, 18)",0.009401798620044088
"(8, 19)",0.010077707776297285
"(8, 20)",0.01247712283501776
"(8, 21)",0.009104364069977925
"(8, 22)",0.009644256334856235
"(8, 23)",0.011242036266164577
"(8, 24)",0.007993822946334269
"(8, 25)",0.01099258451977131
"(8, 26)",0.01054862272944624
"(8, 27)",0.011481580131247228
"(8, 28)",0.008865928238356783
"(8, 29)",0.009542309049834118
"(8, 30)",0.009757866080865808
"(8, 31)",0.010457603512911025
"(8, 32)",0.008559218773248903
"(8, 33)",0.015477418907707896
"(8, 34)",0.008810640490638955
"(8, 35)",0.008739982264437337
"(8, 36)",0.008154898633423825
"(8, 37)",0.009667931888019945
"(8, 38)",0.00971356582788486
"(8, 39)",0.01136838243307601
"(8, 40)",0.00980490184660693
"(8, 41)",0.009958355647629227
"(8, 42)",0.008865928238356342
"(8, 43)",0.009337312145435336
"(8, 44)",0.007573258938425446
"(8, 45)",0.009121112724058394
"(8, 46)",0.010040318395465255
"(8, 47)",0.011238542456297268
"(8, 48)",0.011424658674559591
"(8, 49)",0.012877004488368793
"(8, 50)",0.009170168961269107
"(8, 51)",0.008605018447498378
"(8, 52)",0.008329143099102662
"(8, 53)",0.011306627566614085
"(8, 54)",0.008546166905864702
"(8, 55)",0.010458286013355356
"(8, 56)",0.011889016641495982
"(8, 57)",0.010790670537981693
"(8, 58)",7.949890108225497e-07
"(8, 59)",0.01023055569253748
"(8, 60)",0.009036522704980832
"(8, 61)",0.01427584538277679
"(8, 62)",0.010541339814811502
"(8, 63)",0.010140701912062148
"(8, 64)",0.009252419206660608
"(8, 65)",0.010713811868114617
"(8, 66)",0.011815214323624599
"(8, 67)",0.009279266002644532
"(8, 68)",0.01226517800275368
"(8, 69)",0.010598879759617529
"(8, 70)",0.00973151647990503
"(8, 71)",0.009184841641023124
"(8, 72)",0.009240916746362762
"(8, 73)",0.010754842364715819
"(8, 74)",0.00953713646438075
"(8, 75)",0.0114577676122833
"(8, 76)",0.012346428353732905
"(8, 77)",0.01174325704932524
"(8, 78)",0.010853233575525168
"(8, 79)",0.008580752182226472
"(8, 80)",0.00887780807397127
"(8, 81)",0.008019233139379708
"(8, 82)",0.009025947137211965
"(8, 83)",0.008087391516775478
"(8, 84)",0.012996438377758185
"(8, 85)",0.010135550301585802
"(8, 86)",0.01041378234422994
"(8, 87)",0.008777047337229187
"(8, 88)",0.009298814579525557
"(8, 89)",0.010555573771648844
"(9, 9)",0.009572786009906851
"(9, 10)",0.01133097611151779
"(9, 11)",0.011941577150141392
"(9, 12)",0.01166736342650343
"(9, 13)",0.011508920359807552
"(9, 14)",0.008760678399048503
"(9, 15)",0.010633523547455795
"(9, 16)",0.011789353796573032
"(9, 17)",0.010978119186482853
"(9, 18)",0.0101035173880892
"(9, 19)",0.008992296937094793
"(9, 20)",0.011456108841378956
"(9, 21)",0.00838265188358782
"(9, 22)",0.009281177899523782
"(9, 23)",0.008108502155893836
"(9, 24)",0.010321324186618594
"(9, 25)",0.011155568579875416
"(9, 26)",0.009707687353566165
"(9, 27)",0.010443395747251808
"(9, 28)",0.009401519808755976
"(9, 29)",0.011686638947685797
"(9, 30)",0.0099421425127254
"(9, 31)",0.008755526045426223
"(9, 32)",0.011232688112380708
"(9, 33)",0.011262799451882162
"(9, 34)",0.011111399421005497
"(9, 35)",0.012572171214047677
"(9, 36)",0.010579247329690874
"(9, 37)",0.011605289953870463
"(9, 38)",0.007034455445093023
"(9, 39)",0.012189721381807767
"(9, 40)",0.00861383279342597
"(9, 41)",0.009179299108055
"(9, 42)",0.011306927147189696
"(9, 43)",0.011744712716114155
"(9, 44)",0.011417632415489518
"(9, 45)",0.010662954751618785
"(9, 46)",0.008590007667159972
"(9, 47)",0.012120992673130361
"(9, 48)",0.00878188993572405
"(9, 49)",0.009800854792921329
"(9, 50)",0.008293882219925006
"(9, 51)",0.01224916838648519
"(9, 52)",0.009271898783191842
